species	abundance	interval	survey	region	EPID	PlotID	date	time	temperature	wind_speed	sunshine	cloud_cover	flower_cover	veg_hight	but_moth	activity
Aphantopus hyperantus	16	6	2	A	AEG32	A41172	01.07.08	11:30	23	1.5	30	10	15	70	B	day
Aphantopus hyperantus	1	5	3	A	AEG32	A41172	01.08.08	09:45	22.5	0.5	10	80	15	40	B	day
Aphantopus hyperantus	1	6	3	A	AEG32	A41172	01.08.08	09:45	22.5	0.5	10	80	15	40	B	day
Aphantopus hyperantus	2	3	3	A	AEG33	A41959	01.08.08	14:55	23	0.5	0	100	20	35	B	day
Aphantopus hyperantus	1	2	2	A	AEG39	A32195	26.06.08	15:00	23	1	10	70	0	3	B	day
Aphantopus hyperantus	1	4	2	A	AEG40	A53417	25.06.08	09:45	22	1	25	10	30	20	B	day
Aphantopus hyperantus	1	6	2	A	AEG40	A53417	25.06.08	09:45	22	1	25	10	30	20	B	day
Aphantopus hyperantus	1	4	2	A	AEG41	A28088	29.06.08	12:10	25	1	20	70	0	3	B	day
Aphantopus hyperantus	1	6	3	A	AEG41	A28088	03.08.08	12:00	22	1	10	90	4	30	B	day
Aphantopus hyperantus	1	2	2	A	AEG42	A24657	27.06.08	11:30	20.5	2	20	30	5	7	B	day
Aphantopus hyperantus	1	6	2	A	AEG42	A24657	27.06.08	11:30	20.5	2	20	30	5	7	B	day
Aphantopus hyperantus	1	6	2	A	AEG43	A49542	24.06.08	17:30	25	1	30	30	30	50	B	day
Aphantopus hyperantus	3	2	3	A	AEG43	A49542	30.07.08	16:20	25	0.5	10	50	5	13	B	day
Aphantopus hyperantus	1	4	3	A	AEG43	A49542	30.07.08	16:20	25	0.5	10	50	5	13	B	day
Aphantopus hyperantus	2	1	2	A	AEG44	A33605	29.06.08	11:10	24.5	1.5	20	70	4	4	B	day
Aphantopus hyperantus	1	3	2	A	AEG44	A33605	29.06.08	11:10	24.5	1.5	20	70	4	4	B	day
Aphantopus hyperantus	1	4	2	A	AEG44	A33605	29.06.08	11:10	24.5	1.5	20	70	4	4	B	day
Aphantopus hyperantus	1	5	2	A	AEG44	A33605	29.06.08	11:10	24.5	1.5	20	70	4	4	B	day
Aphantopus hyperantus	1	6	2	A	AEG44	A33605	29.06.08	11:10	24.5	1.5	20	70	4	4	B	day
Aphantopus hyperantus	2	3	3	A	AEG44	A33605	03.08.08	13:00	23	1	15	60	6	10	B	day
Aphantopus hyperantus	2	3	2	A	AEG46	A33626	26.06.08	15:45	22	1	5	80	7	50	B	day
Aphantopus hyperantus	1	5	2	A	AEG46	A33626	26.06.08	15:45	22	1	5	80	7	50	B	day
Aphantopus hyperantus	1	6	2	A	AEG46	A33626	26.06.08	15:45	22	1	5	80	7	50	B	day
Aphantopus hyperantus	1	5	2	A	AEG47	A35283	30.06.08	11:50	21	0.5	5	90	14	7	B	day
Aphantopus hyperantus	1	2	2	A	AEG49	A43953	01.07.08	14:30	26	1	30	20	10	10	B	day
Aphantopus hyperantus	1	3	2	H	HEG06	H30409	06.07.08	10:00	19	1	20	50	25	17	B	day
Aphantopus hyperantus	1	6	2	H	HEG06	H30409	06.07.08	10:00	19	1	20	50	25	17	B	day
Aphantopus hyperantus	1	1	2	H	HEG09	H30212	14.07.08	10:30	18	1.5	5	90	15	20	B	day
Aphantopus hyperantus	3	3	2	H	HEG09	H30212	14.07.08	10:30	18	1.5	5	90	15	20	B	day
Aphantopus hyperantus	1	6	2	H	HEG09	H30212	14.07.08	10:30	18	1.5	5	90	15	20	B	day
Aphantopus hyperantus	1	4	2	H	HEG10	H22151	04.07.08	14:50	22	1.5	30	10	1.5	7	B	day
Aphantopus hyperantus	1	3	2	H	HEG11	H24761	04.07.08	15:50	23	1	25	30	7	7	B	day
Aphantopus hyperantus	1	4	2	H	HEG11	H24761	04.07.08	15:50	23	1	25	30	7	7	B	day
Aphantopus hyperantus	1	5	2	H	HEG11	H24761	04.07.08	15:50	23	1	25	30	7	7	B	day
Aphantopus hyperantus	1	1	2	H	HEG16	H12643	11.07.08	14:50	22.5	1	0	100	20	17	B	day
Aphantopus hyperantus	1	2	2	H	HEG16	H12643	11.07.08	14:50	22.5	1	0	100	20	17	B	day
Aphantopus hyperantus	1	3	2	H	HEG16	H12643	11.07.08	14:50	22.5	1	0	100	20	17	B	day
Aphantopus hyperantus	2	5	2	H	HEG16	H12643	11.07.08	14:50	22.5	1	0	100	20	17	B	day
Aphantopus hyperantus	1	3	2	H	HEG18	H16581	16.07.08	10:45	22.5	1	0	90	10	25	B	day
Aphantopus hyperantus	1	2	2	H	HEG19	H20606	15.07.08	09:40	19	2	30	0	8	25	B	day
Aphantopus hyperantus	1	3	2	H	HEG19	H20606	15.07.08	09:40	19	2	30	0	8	25	B	day
Aphantopus hyperantus	1	4	2	H	HEG19	H20606	15.07.08	09:40	19	2	30	0	8	25	B	day
Aphantopus hyperantus	1	1	2	H	HEG20	H30205	06.07.08	15:00	23	1.5	0	100	30	30	B	day
Aphantopus hyperantus	2	2	2	H	HEG20	H30205	06.07.08	15:00	23	1.5	0	100	30	30	B	day
Aphantopus hyperantus	5	3	2	H	HEG20	H30205	06.07.08	15:00	23	1.5	0	100	30	30	B	day
Aphantopus hyperantus	4	4	2	H	HEG20	H30205	06.07.08	15:00	23	1.5	0	100	30	30	B	day
Aphantopus hyperantus	7	5	2	H	HEG20	H30205	06.07.08	15:00	23	1.5	0	100	30	30	B	day
Aphantopus hyperantus	4	6	2	H	HEG20	H30205	06.07.08	15:00	23	1.5	0	100	30	30	B	day
Aphantopus hyperantus	1	2	2	H	HEG31	H20003	12.07.08	12:20	19	3	0	100	15	12	B	day
Aphantopus hyperantus	2	4	2	H	HEG31	H20003	12.07.08	12:20	19	3	0	100	15	12	B	day
Aphantopus hyperantus	1	6	2	H	HEG31	H20003	12.07.08	12:20	19	3	0	100	15	12	B	day
Aphantopus hyperantus	2	2	2	H	HEG34	H30402	06.07.08	11:00	21	1.5	10	70	20	12	B	day
Aphantopus hyperantus	1	3	2	H	HEG35	H30417	06.07.08	12:10	25	1.5	5	80	15	15	B	day
Aphantopus hyperantus	1	6	2	H	HEG35	H30417	06.07.08	12:10	25	1.5	5	80	15	15	B	day
Aphantopus hyperantus	1	2	2	H	HEG39	H20436	07.07.08	12:50	22	2	25	30	8	60	B	day
Aphantopus hyperantus	1	4	2	H	HEG39	H20436	07.07.08	12:50	22	2	25	30	8	60	B	day
Aphantopus hyperantus	3	1	2	H	HEG43	H19577	04.07.08	16:30	22	1	30	10	17	20	B	day
Aphantopus hyperantus	5	2	2	H	HEG43	H19577	04.07.08	16:30	22	1	30	10	17	20	B	day
Aphantopus hyperantus	1	3	2	H	HEG43	H19577	04.07.08	16:30	22	1	30	10	17	20	B	day
Aphantopus hyperantus	3	4	2	H	HEG43	H19577	04.07.08	16:30	22	1	30	10	17	20	B	day
Aphantopus hyperantus	6	5	2	H	HEG43	H19577	04.07.08	16:30	22	1	30	10	17	20	B	day
Aphantopus hyperantus	1	6	2	H	HEG43	H19577	04.07.08	16:30	22	1	30	10	17	20	B	day
Aphantopus hyperantus	1	3	2	H	HEG44	H20215	15.07.08	14:20	24	2	25	50	7	20	B	day
Aphantopus hyperantus	1	6	2	H	HEG46	H30915	17.07.08	11:15	19.5	1.5	10	80	25	30	B	day
Aphantopus hyperantus	1	3	2	H	HEG47	H2818	16.07.08	14:50	20.5	2	0	100	3	8	B	day
Aphantopus hyperantus	1	6	3	S	SEG15	S658	27.07.08	13:50	29	1	30	0	1	30	B	day
Aphantopus hyperantus	1	5	3	S	SEG16	S706	20.07.08	14:40	22	3	25	50	2	10	B	day
Aphantopus hyperantus	1	5	3	S	SEG19	S676	20.07.08	15:45	22	2	20	50	1	100	B	day
Aphantopus hyperantus	1	4	3	S	SEG24	S761	19.07.08	17:10	21	3	25	40	1	15	B	day
Aporia crataegi	1	2	2	A	AEG10	A8338	29.06.08	15:10	25	1.5	25	30	20	8	B	day
Araschnia levana	1	5	1	A	AEG04	A31160	29.05.08	12:45	23	1	10	80	20	70	B	day
Araschnia levana	1	3	1	A	AEG17	A46114	26.05.08	14:45	22	1	30	0	25	40	B	day
Araschnia levana	1	5	3	A	AEG22	A45310	30.07.08	14:10	26.5	1	10	10	4	10	B	day
Araschnia levana	1	1	3	A	AEG25	A7116	29.07.08	11:00	23	1	0	100	15	12	B	day
Araschnia levana	1	5	3	A	AEG26	A28932	03.08.08	14:15	24	2	20	40	15	10	B	day
Araschnia levana	1	5	1	A	AEG41	A28088	29.05.08	10:00	21	1	10	80	20	70	B	day
Araschnia levana	2	1	1	A	AEG42	A24657	15.05.08	12:45	23	1	20	40	60	50	B	day
Araschnia levana	1	2	3	A	AEG42	A24657	29.07.08	13:15	24	1.5	30	20	13	17	B	day
Araschnia levana	1	1	3	A	AEG44	A33605	03.08.08	13:00	23	1	15	60	6	10	B	day
Araschnia levana	1	5	3	A	AEG44	A33605	03.08.08	13:00	23	1	15	60	6	10	B	day
Araschnia levana	1	3	3	A	AEG46	A33626	02.08.08	15:40	24.5	1	10	70	4	15	B	day
Araschnia levana	1	2	1	A	AEG47	A35283	29.05.08	14:45	23	0	0	80	5	10	B	day
Araschnia levana	1	5	3	A	AEG49	A43953	01.08.08	11:30	23	0.5	0	100	16	13	B	day
Araschnia levana	1	6	3	A	AEG49	A43953	01.08.08	11:30	23	0.5	0	100	16	13	B	day
Araschnia levana	1	3	3	H	HEG48	H5053	07.08.08	17:00	29.5	2	0	50	1	10	B	day
Araschnia levana	1	4	3	S	SEG38	S1044	26.07.08	10:45	24	1	30	0	9	15	B	day
Argynnis adippe	1	6	3	A	AEG07	A24854	29.07.08	15:25	26	1	20	40	12	10	B	day
Argynnis adippe	1	6	2	A	AEG10	A8338	29.06.08	15:10	25	1.5	25	30	20	8	B	day
Argynnis adippe	1	3	3	A	AEG22	A45310	30.07.08	14:10	26.5	1	10	10	4	10	B	day
Argynnis adippe	1	5	3	A	AEG34	A43366	01.08.08	12:40	24	2	5	90	12	25	B	day
Argynnis adippe	1	3	2	A	AEG47	A35283	30.06.08	11:50	19	1	5	90	0	4	B	day
Argynnis adippe	1	3	2	H	HEG29	H20537	04.07.08	13:30	22	1.5	30	10	10	15	B	day
Argynnis adippe	1	3	3	H	HEG41	H888	11.08.08	12:30	22	2.5	20	50	11	25	B	day
Argynnis aglaja	1	4	2	H	HEG42	H13708	15.07.08	11:25	21.5	2	20	60	15	25	B	day
Argynnis aglaja	2	1	2	H	HEG43	H19577	04.07.08	16:30	22	1	30	10	17	20	B	day
Argynnis aglaja	1	2	2	H	HEG43	H19577	04.07.08	16:30	22	1	30	10	17	20	B	day
Argynnis aglaja	1	3	2	H	HEG43	H19577	04.07.08	16:30	22	1	30	10	17	20	B	day
Argynnis aglaja	4	4	2	H	HEG43	H19577	04.07.08	16:30	22	1	30	10	17	20	B	day
Argynnis aglaja	5	5	2	H	HEG43	H19577	04.07.08	16:30	22	1	30	10	17	20	B	day
Argynnis aglaja	2	6	2	H	HEG43	H19577	04.07.08	16:30	22	1	30	10	17	20	B	day
Argynnis aglaja	1	5	3	H	HEG43	H19577	16.08.08	13:15	20	1.5	30	30	7	12	B	day
Argynnis aglaja	1	4	2	H	HEG44	H20215	15.07.08	14:20	24	2	25	50	7	20	B	day
Argynnis aglaja	1	6	2	H	HEG44	H20215	15.07.08	14:20	24	2	25	50	7	20	B	day
Argynnis paphia	2	1	3	S	SEG36	S1035	25.07.08	10:50	25.5	1.5	30	0	15	9	B	day
Argynnis paphia	1	5	3	S	SEG47	S801	25.07.08	11:55	26.5	1	30	5	2	15	B	day
Argynnis paphia	1	2	3	S	SEG47	S801	25.07.08	11:55	26.5	1	30	5	2	15	B	day
Autographa gamma	1	1	3	A	AEG01	A19557	28.07.08	16:15	23	0.5	0	90	2	20	M	day
Autographa gamma	1	6	3	A	AEG01	A19557	28.07.08	16:15	23	0.5	0	90	2	20	M	day
Autographa gamma	1	3	2	A	AEG02	A39275	29.06.08	10:00	10.5	1.5	30	30	25	12	M	day
Autographa gamma	1	4	2	A	AEG03	A48112	24.06.08	16:40	25	1	30	0	12	7	M	day
Autographa gamma	1	5	2	A	AEG03	A48112	24.06.08	16:40	25	1	30	0	12	7	M	day
Autographa gamma	1	1	3	A	AEG03	A48112	01.08.08	16:00	22	2	30	50	15	15	M	day
Autographa gamma	2	2	3	A	AEG03	A48112	01.08.08	16:00	22	2	30	50	15	15	M	day
Autographa gamma	3	3	3	A	AEG03	A48112	01.08.08	16:00	22	2	30	50	15	15	M	day
Autographa gamma	5	4	3	A	AEG03	A48112	01.08.08	16:00	22	2	30	50	15	15	M	day
Autographa gamma	3	5	3	A	AEG03	A48112	01.08.08	16:00	22	2	30	50	15	15	M	day
Autographa gamma	4	6	3	A	AEG03	A48112	01.08.08	16:00	22	2	30	50	15	15	M	day
Autographa gamma	1	6	1	A	AEG04	A31160	29.05.08	12:45	23	1	10	80	20	70	M	day
Autographa gamma	1	4	3	A	AEG08	A42131	02.08.08	11:50	21.5	1	20	70	9	18	M	day
Autographa gamma	1	3	3	A	AEG09	A43687	03.08.08	17:20	23	1.5	30	10	16	15	M	day
Autographa gamma	1	6	3	A	AEG10	A8338	29.07.08	10:00	23	1	25	10	3	8	M	day
Autographa gamma	1	2	3	A	AEG12	A20771	28.07.08	17:00	20	0.5	0	100	7	22	M	day
Autographa gamma	3	3	3	A	AEG12	A20771	28.07.08	17:00	20	0.5	0	100	7	22	M	day
Autographa gamma	1	4	3	A	AEG12	A20771	28.07.08	17:00	20	0.5	0	100	7	22	M	day
Autographa gamma	3	5	3	A	AEG12	A20771	28.07.08	17:00	20	0.5	0	100	7	22	M	day
Autographa gamma	2	6	3	A	AEG12	A20771	28.07.08	17:00	20	0.5	0	100	7	22	M	day
Autographa gamma	2	1	3	A	AEG12	A20771	28.07.08	17:00	20	0.5	0	100	7	22	M	day
Autographa gamma	2	3	3	A	AEG13	A22610	29.07.08	14:10	25.5	1.5	20	20	10	20	M	day
Autographa gamma	1	6	3	A	AEG13	A22610	29.07.08	14:10	25.5	1.5	20	20	10	20	M	day
Autographa gamma	2	2	3	A	AEG14	A46088	30.07.08	11:00	25	1.5	30	0	14	12	M	day
Autographa gamma	1	3	3	A	AEG14	A46088	30.07.08	11:00	25	1.5	30	0	14	12	M	day
Autographa gamma	2	4	3	A	AEG14	A46088	30.07.08	11:00	25	1.5	30	0	14	12	M	day
Autographa gamma	1	5	3	A	AEG14	A46088	30.07.08	11:00	25	1.5	30	0	14	12	M	day
Autographa gamma	2	6	3	A	AEG14	A46088	30.07.08	11:00	25	1.5	30	0	14	12	M	day
Autographa gamma	1	1	3	A	AEG14	A46088	30.07.08	11:00	25	1.5	30	0	14	12	M	day
Autographa gamma	1	4	3	A	AEG15	A35767	05.08.08	15:10	20	1	15	50	2	8	M	day
Autographa gamma	1	5	3	A	AEG15	A35767	05.08.08	15:10	20	1	15	50	2	8	M	day
Autographa gamma	2	1	3	A	AEG17	A46114	30.07.08	15:20	26.5	1.5	25	10	20	25	M	day
Autographa gamma	2	2	3	A	AEG17	A46114	30.07.08	15:20	26.5	1.5	25	10	20	25	M	day
Autographa gamma	2	3	3	A	AEG17	A46114	30.07.08	15:20	26.5	1.5	25	10	20	25	M	day
Autographa gamma	3	4	3	A	AEG17	A46114	30.07.08	15:20	26.5	1.5	25	10	20	25	M	day
Autographa gamma	2	5	3	A	AEG17	A46114	30.07.08	15:20	26.5	1.5	25	10	20	25	M	day
Autographa gamma	5	6	3	A	AEG17	A46114	30.07.08	15:20	26.5	1.5	25	10	20	25	M	day
Autographa gamma	2	1	3	A	AEG18	A46500	30.07.08	11:50	25	2	30	0	6	30	M	day
Autographa gamma	2	2	3	A	AEG18	A46500	30.07.08	11:50	25	2	30	0	6	30	M	day
Autographa gamma	2	3	3	A	AEG18	A46500	30.07.08	11:50	25	2	30	0	6	30	M	day
Autographa gamma	1	4	3	A	AEG18	A46500	30.07.08	11:50	25	2	30	0	6	30	M	day
Autographa gamma	1	5	3	A	AEG18	A46500	30.07.08	11:50	25	2	30	0	6	30	M	day
Autographa gamma	2	6	3	A	AEG18	A46500	30.07.08	11:50	25	2	30	0	6	30	M	day
Autographa gamma	1	1	1	A	AEG20	A21699	28.05.08	13:45	24	2.5	25	30	45	80	M	day
Autographa gamma	2	5	2	A	AEG20	A21699	28.06.08	13:45	24.5	1	20	60	4	20	M	day
Autographa gamma	1	6	1	A	AEG21	A21850	28.05.08	15:15	22	2	25	20	5	15	M	day
Autographa gamma	2	1	3	A	AEG21	A21850	05.08.08	11:45	19	1	20	50	9	15	M	day
Autographa gamma	1	5	2	A	AEG23	A45122	24.06.08	15:30	26	1	30	10	20	60	M	day
Autographa gamma	1	5	3	A	AEG23	A45122	02.08.08	11:00	20	1	20	70	12	40	M	day
Autographa gamma	1	1	3	A	AEG26	A28932	03.08.08	14:15	24	2	20	40	15	10	M	day
Autographa gamma	1	3	3	A	AEG26	A28932	03.08.08	14:15	24	2	20	40	15	10	M	day
Autographa gamma	1	4	3	A	AEG26	A28932	03.08.08	14:15	24	2	20	40	15	10	M	day
Autographa gamma	1	5	3	A	AEG26	A28932	03.08.08	14:15	24	2	20	40	15	10	M	day
Autographa gamma	1	6	3	A	AEG26	A28932	03.08.08	14:15	24	2	20	40	15	10	M	day
Autographa gamma	1	1	3	A	AEG27	A40320	02.08.08	14:30	22.5	1	15	70	6	20	M	day
Autographa gamma	1	5	3	A	AEG27	A40320	02.08.08	14:30	22.5	1	15	70	6	20	M	day
Autographa gamma	1	4	2	A	AEG28	A42175	01.07.08	10:00	22	2	30	0	25	12	M	day
Autographa gamma	1	6	1	A	AEG30	A36956	30.05.08	13:45	24	1	0	80	35	30	M	day
Autographa gamma	1	1	1	A	AEG31	A37367	30.05.08	14:30	20	2	0	80	30	30	M	day
Autographa gamma	1	2	1	A	AEG31	A37367	30.05.08	14:30	20	2	0	80	30	30	M	day
Autographa gamma	1	6	3	A	AEG31	A37367	05.08.08	14:20	20.5	2	10	80	0.5	5	M	day
Autographa gamma	1	2	3	A	AEG32	A41172	01.08.08	09:45	22.5	0.5	10	80	15	40	M	day
Autographa gamma	2	2	2	A	AEG33	A41959	01.07.08	15:45	26	0.5	30	10	25	20	M	day
Autographa gamma	1	3	2	A	AEG33	A41959	01.07.08	15:45	26	0.5	30	10	25	20	M	day
Autographa gamma	2	6	2	A	AEG33	A41959	01.07.08	15:45	26	0.5	30	10	25	20	M	day
Autographa gamma	2	6	3	A	AEG33	A41959	01.08.08	14:55	23	0.5	0	100	20	35	M	day
Autographa gamma	1	2	2	A	AEG34	A43366	01.07.08	13:30	25	1	25	40	20	12	M	day
Autographa gamma	1	1	3	A	AEG34	A43366	01.08.08	12:40	24	2	5	90	12	25	M	day
Autographa gamma	1	3	3	A	AEG34	A43366	01.08.08	12:40	24	2	5	90	12	25	M	day
Autographa gamma	1	4	1	A	AEG35	A11495	28.05.08	10:00	20	1	20	20	15	110	M	day
Autographa gamma	1	4	3	A	AEG37	A30361	29.07.08	17:00	24	1	20	40	5	25	M	day
Autographa gamma	1	6	3	A	AEG37	A30361	29.07.08	17:00	24	1	20	40	5	25	M	day
Autographa gamma	1	6	1	A	AEG38	A32042	28.05.08	16:30	21	1	25	20	15	50	M	day
Autographa gamma	1	4	1	A	AEG39	A32195	29.05.08	13:30	23	1	0	100	70	80	M	day
Autographa gamma	1	1	2	A	AEG40	A53417	25.06.08	09:45	22	1	25	10	30	20	M	day
Autographa gamma	2	4	3	A	AEG40	A53417	30.07.08	17:20	25	0.5	5	80	1	4	M	day
Autographa gamma	1	5	3	A	AEG40	A53417	30.07.08	17:20	25	0.5	5	80	1	4	M	day
Autographa gamma	1	6	3	A	AEG40	A53417	30.07.08	17:20	25	0.5	5	80	1	4	M	day
Autographa gamma	1	3	3	A	AEG40	A53417	30.07.08	17:20	25	0.5	5	80	1	4	M	day
Autographa gamma	1	2	3	A	AEG42	A24657	29.07.08	13:15	24	1.5	30	20	13	17	M	day
Autographa gamma	1	3	3	A	AEG42	A24657	29.07.08	13:15	24	1.5	30	20	13	17	M	day
Autographa gamma	1	1	2	A	AEG43	A49542	24.06.08	17:30	25	1	30	30	30	50	M	day
Autographa gamma	1	3	3	A	AEG43	A49542	30.07.08	16:20	25	0.5	10	50	5	13	M	day
Autographa gamma	1	5	1	A	AEG44	A33605	29.05.08	11:20	24	1	5	80	30	40	M	day
Autographa gamma	1	4	2	A	AEG46	A33626	26.06.08	15:45	22	1	5	80	7	50	M	day
Autographa gamma	1	3	3	A	AEG47	A35283	03.08.08	15:55	24	1.5	20	70	15	15	M	day
Autographa gamma	1	4	3	A	AEG48	A43134	02.08.08	13:00	21.5	1	10	80	10	20	M	day
Autographa gamma	1	1	3	A	AEG49	A43953	01.08.08	11:30	23	0.5	0	100	16	13	M	day
Autographa gamma	1	6	1	H	HEG01	H4580	04.06.08	10:00	20	3	30	0	0	7	M	day
Autographa gamma	1	2	2	H	HEG05	H20816	06.07.08	16:40	20	1	0	100	17	20	M	day
Autographa gamma	1	5	1	H	HEG07	H12850	02.06.08	14:15	28	2.5	30	10	18	90	M	day
