"species_id","region","taxa","species_name","synonym1","synonym2","family","de_name1","de_name2","de_name3","de_name4","comment"
"ALBP106Gmol","ALB","plant","Galium_mollugo",NA,NA,"Rubiaceae","Wiesen-Labkraut",NA,NA,NA,"aggr."
"ALBP107Gpum","ALB","plant","Galium_pumilum",NA,NA,"Rubiaceae","Niederes Labkraut","Heide-Labkraut",NA,NA,NA
"ALBP108Gver","ALB","plant","Galium_verum",NA,NA,"Rubiaceae","Echtes Labkraut",NA,NA,NA,NA
"ALBP110Gdis","ALB","plant","Geranium_dissectum",NA,NA,"Geraniaceae","Schlitzblättrige Storchschnabel",NA,NA,NA,NA
"ALBP112Gpra","ALB","plant","Geranium_pratense",NA,NA,"Geraniaceae","Wiesen-Storchschnabel",NA,NA,NA,NA
"ALBP113Gpus","ALB","plant","Geranium_pusillum",NA,NA,"Geraniaceae","Kleine Storchschnabel",NA,NA,NA,NA
"ALBP114Gpyr","ALB","plant","Geranium_pyrenaicum",NA,NA,"Geraniaceae","Pyrenäen-Storchschnabel",NA,NA,NA,NA
"ALBP115Gsyl","ALB","plant","Geranium_sylvaticum",NA,NA,"Geraniaceae","Wald-Storchschnabel",NA,NA,NA,NA
"ALBP117Ghed","ALB","plant","Glechoma_hederacea",NA,NA,"Lamiaceae","Gundermann","Gundelrebe",NA,NA,NA
"ALBP118Hnum","ALB","plant","Helianthemum_nummularium",NA,NA,"Cistaceae","Gewöhnliches Sonnenröschen",NA,NA,NA,NA
"ALBP119Hpub","ALB","plant","Helictotrichon_pubescens","Avenula_pubescens",NA,"Poaceae","Flaum-Hafer",NA,NA,NA,NA
"ALBP120Hsph","ALB","plant","Heracleum_sphondylium",NA,NA,"Apiaceae","Wiesen-Bärenklau",NA,NA,NA,NA
"ALBP121Hpil","ALB","plant","Hieracium_pilosella","Pilosella_officirum",NA,"Asteraceae","Kleines Habichtskraut","Mausöhrchen",NA,NA,NA
"ALBP122Hcom","ALB","plant","Hippocrepis_comosa",NA,NA,"Fabaceae","Hufeisenklee",NA,NA,NA,NA
"ALBP123Hlan","ALB","plant","Holcus_lanatus",NA,NA,"Poaceae","Wolliges Honiggras",NA,NA,NA,NA
"ALBP126Hper","ALB","plant","Hypericum_perforatum",NA,NA,"Hypericaceae","Echtes Johanniskraut","Tüpfel-Johanniskraut",NA,NA,NA
"ALBP127Hrad","ALB","plant","Hypochaeris_radicata","Hypochoeris_radicata",NA,"Asteraceae","Gewöhnliche Ferkelkraut",NA,NA,NA,NA
"ALBP129Karv","ALB","plant","Knautia_arvensis",NA,NA,"Caprifoliaceae","Acker-Witwenblume","Wiesen-Knautie",NA,NA,NA
"ALBP130Kpyr","ALB","plant","Koeleria_pyramidata",NA,NA,"Poaceae","Pyramiden-Kammschmiele","Großes Schillergras",NA,NA,NA
"ALBP132Lalb","ALB","plant","Lamium_album",NA,NA,"Lamiaceae","Weiße Taubnessel",NA,NA,NA,NA
"ALBP134Lpur","ALB","plant","Lamium_purpureum",NA,NA,"Lamiaceae","Rote Taubnessel",NA,NA,NA,NA
"ALBP137Lpra","ALB","plant","Lathyrus_pratensis",NA,NA,"Fabaceae","Wiesen-Platterbse",NA,NA,NA,NA
"ALBP139Laut","ALB","plant","Leontodon_autumnalis","Scorzoneroides_autumnalis",NA,"Asteraceae","Gewöhnlicher Herbst-Löwenzahn",NA,NA,NA,NA
"ALBP140Lhis","ALB","plant","Leontodon_hispidus",NA,NA,"Asteraceae","Rauher Löwenzahn",NA,NA,NA,NA
"ALBP141Lvul","ALB","plant","Leucanthemum_vulgare","Chrysanthemum_leucanthemum",NA,"Asteraceae","Wiesen-Margeriten","Wiesen-Wucherblume","Gewöhnliche Wucherblume","Margerite","aggr."
"ALBP143Lcat","ALB","plant","Linum_catharticum",NA,NA,"Linaceae","Purgier-Lein","Wiesen-Lein",NA,NA,NA
"ALBP146Lper","ALB","plant","Lolium_perenne",NA,NA,"Poaceae","Ausdauernder Lolch",NA,NA,NA,NA
"ALBP147Lcor","ALB","plant","Lotus_corniculatus",NA,NA,"Fabaceae","Gewöhnliche Hornklee",NA,NA,NA,NA
"ALBP148Lcam","ALB","plant","Luzula_campestris",NA,NA,"Juncaceae","Feld-Hainsimse",NA,NA,NA,NA
"ALBP149Lnum","ALB","plant","Lysimachia_nummularia",NA,NA,"Primulaceae","Pfennigkraut",NA,NA,NA,NA
"ALBP154Mlup","ALB","plant","Medicago_lupulina",NA,NA,"Fabaceae","Hopfenklee","Schneckenklee",NA,NA,NA
"ALBP159Mneg","ALB","plant","Muscari_neglectum","Muscari_racemosum",NA,"Asparagaceae","Traubenhyazinthe",NA,NA,NA,"aggr."
"ALBP160Marv","ALB","plant","Myosotis_arvensis",NA,NA,"Boraginaceae","Acker-Vergissmeinnicht",NA,NA,NA,NA
"ALBP161Over","ALB","plant","Odontites_vernus","Odontites_ver",NA,"Orobanchaceae","Roter Acker-Zahntrost","Frühlings-Zahntrost",NA,NA,"aggr."
"ALBP164Ospi","ALB","plant","Ononis_spinosa","Ononis_repens_spinosa_aggr.","Ononis_spinosa_subsp_spinosa","Fabaceae","Dornige Hauhechel",NA,NA,NA,"subsp. spinosa aggr."
"ALBP165Omil","ALB","plant","Orchis_militaris",NA,NA,"Orchidaceae","Helm-Knabenkraut",NA,NA,NA,NA
"ALBP166Ovul","ALB","plant","Origanum_vulgare",NA,NA,"Lamiaceae","Gewöhnlicher Dost","Wilder Majoran",NA,NA,NA
"ALBP171Ppra","ALB","plant","Phleum_pratense",NA,NA,"Poaceae","Wiesen-Lieschgras",NA,NA,NA,"aggr."
"ALBP173Porb","ALB","plant","Phyteuma_orbiculare",NA,NA,"Campanulaceae","Kugel-Rapunzel","Kugelige Teufelskralle",NA,NA,NA
"ALBP176Pmaj","ALB","plant","Pimpinella_major",NA,NA,"Apiaceae","Große Bibernelle",NA,NA,NA,NA
"ALBP177Psax","ALB","plant","Pimpinella_saxifraga",NA,NA,"Apiaceae","Kleine Bibernelle",NA,NA,NA,"aggr."
"ALBP178Plan","ALB","plant","Plantago_lanceolata",NA,NA,"Plantaginaceae","Spitz-Wegerich",NA,NA,NA,NA
"ALBP179Pmaj","ALB","plant","Plantago_major",NA,NA,"Plantaginaceae","Großer Wegerich",NA,NA,NA,NA
"ALBP180Pmed","ALB","plant","Plantago_media",NA,NA,"Plantaginaceae","Mittlere Wegerich",NA,NA,NA,NA
"ALBP181Pchl","ALB","plant","Platanthera_chlorantha",NA,NA,"Orchidaceae","Berg-Waldhyazinthe","Grünliche Waldhyazinthe",NA,NA,NA
"ALBP183Ppra","ALB","plant","Poa_pratensis",NA,NA,"Poaceae","Wiesen-Rispengras",NA,NA,NA,"aggr."
"ALBP185Ptri","ALB","plant","Poa_trivialis",NA,NA,"Poaceae","Gewöhnliches Rispengras",NA,NA,NA,NA
"ALBP186Pcom","ALB","plant","Polygala_comosa",NA,NA,"Polygalaceae","Schopfige Kreuzblume",NA,NA,NA,"aggr."
"ALBP190Pere","ALB","plant","Potentilla_erecta",NA,NA,"Rosaceae","Blutwurz",NA,NA,NA,NA
"ALBP191Phep","ALB","plant","Potentilla_heptaphylla",NA,NA,"Rosaceae","Rötliches Fingerkraut",NA,NA,NA,NA
"ALBP194Pver","ALB","plant","Potentilla_verna","Potentilla_neumanniana",NA,"Rosaceae","Frühlings-Fingerkraut",NA,NA,NA,"aggr."
"ALBP195Pver","ALB","plant","Primula_veris",NA,NA,"Primulaceae","Arznei-Schlüsselblume","Echte Schlüsselblume",NA,NA,NA
"ALBP197Pvul","ALB","plant","Pulsatilla_vulgaris",NA,NA,"Ranunculaceae","Gewöhnliche Kuhschelle","Gewöhnliche Küchenschelle",NA,NA,NA
"ALBP198Racr","ALB","plant","Ranunculus_acris",NA,NA,"Ranunculaceae","Scharfer Hahnenfuß",NA,NA,NA,NA
"ALBP199Rbul","ALB","plant","Ranunculus_bulbosus",NA,NA,"Ranunculaceae","Knolliger Hahnenfuß","Knollen Hahnenfuß",NA,NA,NA
"ALBP200Rfic","ALB","plant","Ranunculus_ficaria","Ficaria_verna",NA,"Ranunculaceae","Scharbockskraut",NA,NA,NA,NA
"ALBP201Rrep","ALB","plant","Ranunculus_repens",NA,NA,"Ranunculaceae","Kriechende Hahnenfuß",NA,NA,NA,NA
"ALBP203Rcan","ALB","plant","Rosa_canina",NA,NA,"Rosaceae","Hunds-Rose","Hecken-Rose",NA,NA,"aggr."
"ALBP206Race","ALB","plant","Rumex_acetosa",NA,NA,"Polygonaceae","Wiesen-Sauerampfer","Großer Sauerampfer",NA,NA,NA
"ALBP208Rcri","ALB","plant","Rumex_crispus",NA,NA,"Polygonaceae","Krauser Ampfer",NA,NA,NA,NA
"ALBP209Robt","ALB","plant","Rumex_obtusifolius",NA,NA,"Polygonaceae","Stumpfblättrige Ampfer",NA,NA,NA,NA
"ALBP210Rthy","ALB","plant","Rumex_thyrsiflorus",NA,NA,"Polygonaceae","Straußblütige Sauerampfer",NA,NA,NA,NA
"ALBP211Spra","ALB","plant","Salvia_pratensis",NA,NA,"Lamiaceae","Wiesensalbei","Wiesen-Salbei",NA,NA,NA
"ALBP212Smin","ALB","plant","Sanguisorba_minor",NA,NA,"Rosaceae","Kleiner Wiesenknopf",NA,NA,NA,NA
"ALBP213Scol","ALB","plant","Scabiosa_columbaria",NA,NA,"Caprifoliaceae","Tauben-Skabiose",NA,NA,NA,NA
"ALBP218Sjac","ALB","plant","Senecio_jacobaea","Jacobaea_vulgaris",NA,"Asteraceae","Jakobskraut","Jakobs-Greiskraut",NA,NA,NA
"ALBP220Salb","ALB","plant","Sesleria_albicans","Sesleria_varia","Sesleria_caerulea","Poaceae","Kalk-Blaugras",NA,NA,NA,NA
"ALBP223Sdio","ALB","plant","Silene_dioica","Melandrium_rubrum",NA,"Caryophyllaceae","Tag-Lichtnelke","Rote Lichtnelke",NA,NA,NA
"ALBP225Svul","ALB","plant","Silene_vulgaris",NA,NA,"Caryophyllaceae","Aufgeblasenes Leimkraut","Taubenkropf",NA,NA,NA
"ALBP234Sgra","ALB","plant","Stellaria_graminea",NA,NA,"Caryophyllaceae","Gras-Sternmiere",NA,NA,NA,NA
"ALBP235Smed","ALB","plant","Stellaria_media",NA,NA,"Caryophyllaceae","Vogelmiere",NA,NA,NA,NA
"ALBP240Tmon","ALB","plant","Teucrium_montanum",NA,NA,"Lamiaceae","Berg-Gamander",NA,NA,NA,NA
"ALBP242Tper","ALB","plant","Thlaspi_perfoliatum","Microthlaspi_perfoliatum",NA,"Brassicaceae","Stängelumfassendes Hellerkraut",NA,NA,NA,NA
"ALBP243Tpul","ALB","plant","Thymus_pulegioides",NA,NA,"Lamiaceae","Feld-Thymian","Arznei-Thymian",NA,NA,NA
"ALBP244Tpra","ALB","plant","Tragopogon_pratensis",NA,NA,"Asteraceae","Wiesen-Bocksbart",NA,NA,NA,NA
"ALBP247Tcam","ALB","plant","Trifolium_campestre",NA,NA,"Fabaceae","Feld-Klee",NA,NA,NA,NA
"ALBP248Tdub","ALB","plant","Trifolium_dubium",NA,NA,"Fabaceae","Faden-Klee","Kleiner Klee",NA,NA,NA
"ALBP250Tmon","ALB","plant","Trifolium_montanum",NA,NA,"Fabaceae","Berg-Klee",NA,NA,NA,NA
"ALBP251Tpra","ALB","plant","Trifolium_pratense",NA,NA,"Fabaceae","Rote Wiesenklee","Rotklee","Rot-Klee","Roter Wiesen-Klee",NA
"ALBP252Trep","ALB","plant","Trifolium_repens",NA,NA,"Fabaceae","Weiß-Klee","Kriechender Klee",NA,NA,NA
"ALBP255Udio","ALB","plant","Urtica_dioica",NA,NA,"Urticaceae","Große Brennessel",NA,NA,NA,NA
"ALBP257Varv","ALB","plant","Veronica_arvensis",NA,NA,"Plantaginaceae","Feld-Ehrenpreis",NA,NA,NA,NA
"ALBP258Vcha","ALB","plant","Veronica_chamaedrys",NA,NA,"Plantaginaceae","Gamander-Ehrenpreis",NA,NA,NA,NA
"ALBP263Vser","ALB","plant","Veronica_serpyllifolia",NA,NA,"Plantaginaceae","Quendel-Ehrenpreis",NA,NA,NA,NA
"ALBP264Vteu","ALB","plant","Veronica_teucrium",NA,NA,"Plantaginaceae","Großer Ehrenpreis",NA,NA,NA,NA
"ALBP267Vsat","ALB","plant","Vicia_sativa","Vicia_angustifolia",NA,"Faboideae","Futter-Wicke","Saat-Wicke","Schmalblättrige Wicke",NA,"aggr."
"ALBP268Vsep","ALB","plant","Vicia_sepium",NA,NA,"Faboideae","Zaun-Wicke",NA,NA,NA,NA
"ALBL003Ahyp","ALB","lepidoptera","Aphantopus_hyperantus",NA,NA,"Nymphalidae","Schornsteinfeger",NA,NA,NA,NA
"ALBL004Acra","ALB","lepidoptera","Aporia_crataegi",NA,NA,"Pieridae","Baum-Weißling",NA,NA,NA,NA
"ALBL005Alev","ALB","lepidoptera","Araschnia_levana",NA,NA,"Nymphalidae","Landkärtchen",NA,NA,NA,NA
"ALBL006Aadi","ALB","lepidoptera","Argynnis_adippe","Fabriciana_adippe",NA,"Nymphalidae","Feuriger Perlmutterfalter",NA,NA,NA,NA
"ALBL009Bino","ALB","lepidoptera","Brenthis_ino",NA,NA,"Nymphalidae","Mädesüß-Perlmutterfalter",NA,NA,NA,NA
"ALBL010Crub","ALB","lepidoptera","Callophrys_rubi",NA,NA,"Lycaenidae","Grüner Zipfelfalter",NA,NA,NA,NA
"ALBL011Cpal","ALB","lepidoptera","Carterocephalus_palaemon",NA,NA,"Hesperiidae","Gelbwürfeliger Dickkopffalter",NA,NA,NA,NA
"ALBL012Carg","ALB","lepidoptera","Celastrina_argiolus",NA,NA,"Lycaenidae","Faulbaum-Bläuling",NA,NA,NA,NA
"ALBL013Carc","ALB","lepidoptera","Coenonympha_arcania",NA,NA,"Nymphalidae","Weißbindiges Wiesenvögelchen",NA,NA,NA,NA
"ALBL014Cgly","ALB","lepidoptera","Coenonympha_glycerion",NA,NA,"Nymphalidae","Rotbraunes Wiesenvögelchen",NA,NA,NA,NA
"ALBL015Cpam","ALB","lepidoptera","Coenonympha_pamphilus",NA,NA,"Nymphalidae","Kleines Wiesenvögelchen",NA,NA,NA,NA
"ALBL016Calf","ALB","lepidoptera","Colias_alfacariensis","Colias_australis",NA,"Pieridae","Hufeisenklee-Gelbling",NA,NA,NA,NA
"ALBL017Ccro","ALB","lepidoptera","Colias_crocea","Colias_croceus",NA,"Pieridae","Wander-Gelbling",NA,NA,NA,NA
"ALBL018Chya","ALB","lepidoptera","Colias_hyale",NA,NA,"Pieridae","Weißklee-Gelbling",NA,NA,NA,NA
"ALBL019Cmin","ALB","lepidoptera","Cupido_minimus",NA,NA,"Lycaenidae","Zwerg-Bläuling",NA,NA,NA,NA
"ALBL020Eaet","ALB","lepidoptera","Erebia_aethiops",NA,NA,"Nymphalidae","Graubindiger Mohrenfalter",NA,NA,NA,NA
"ALBL021Emed","ALB","lepidoptera","Erebia_medusa",NA,NA,"Nymphalidae","Rundaugen-Mohrenfalter",NA,NA,NA,NA
"ALBL022Etag","ALB","lepidoptera","Erynnis_tages",NA,NA,"Hesperiidae","Kronwicken-Dickkopffalter",NA,NA,NA,NA
"ALBL023Grha","ALB","lepidoptera","Gonepteryx_rhamni",NA,NA,"Pieridae","Zitronenfalter",NA,NA,NA,NA
"ALBL024Hcom","ALB","lepidoptera","Hesperia_comma",NA,NA,"Hesperiidae","Komma-Dickkopffalter",NA,NA,NA,NA
"ALBL0025Iio","ALB","lepidoptera","Inachis_io","Aglais_io",NA,"Nymphalidae","Tagpfauenauge",NA,NA,NA,NA
"ALBL027Lsin","ALB","lepidoptera","Leptidea_sinapis_complex",NA,NA,"Pieridae",NA,NA,NA,NA,"complex: this species complex includes L. sipis; L. reali und L. juvernica."
"ALBL028Lhip","ALB","lepidoptera","Lycaena_hippothoe",NA,NA,"Lycaenidae","Lilagold-Feuerfalter",NA,NA,NA,NA
"ALBL029Lphl","ALB","lepidoptera","Lycaena_phlaeas",NA,NA,"Lycaenidae","Kleiner Feuerfalter",NA,NA,NA,NA
"ALBL030Ltit","ALB","lepidoptera","Lycaena_tityrus",NA,NA,"Lycaenidae","Brauner Feuerfalter",NA,NA,NA,NA
"ALBL031Mari","ALB","lepidoptera","Maculinea_arion","Phengaris_arion",NA,"Lycaenidae","Schwarzfleckiger Ameisen-Bläuling",NA,NA,NA,NA
"ALBL032Mjur","ALB","lepidoptera","Maniola_jurtina",NA,NA,"Nymphalidae","Großes Ochsenauge",NA,NA,NA,NA
"ALBL033Mgal","ALB","lepidoptera","Melanargia_galathea",NA,NA,"Nymphalidae","Schachbrett",NA,NA,NA,NA
"ALBL034Math","ALB","lepidoptera","Melitaea_athalia","Mellicta_athalia",NA,"Nymphalidae","Wachtelweizen-Scheckenfalter",NA,NA,NA,NA
"ALBL035Maur","ALB","lepidoptera","Melitaea_aurelia","Mellicta_aurelia",NA,"Nymphalidae","Ehrenpreis-Scheckenfalter",NA,NA,NA,NA
"ALBL036Mbri","ALB","lepidoptera","Melitaea_britomartis","Mellicta_britomartis",NA,"Nymphalidae","Östlicher Scheckenfalter",NA,NA,NA,NA
"ALBL037Nurt","ALB","lepidoptera","Nymphalis_urticae","Aglais_urticae",NA,"Nymphalidae","Kleiner Fuchs",NA,NA,NA,NA
"ALBL038Osyl","ALB","lepidoptera","Ochlodes_sylvanus","Ochlodes_venatus",NA,"Hesperiidae","Rostfarbiger Dickkopffalter",NA,NA,NA,NA
"ALBL039Pmac","ALB","lepidoptera","Papilio_machaon",NA,NA,"Papilionidae","Schwalbenschwanz",NA,NA,NA,NA
"ALBL040Pbra","ALB","lepidoptera","Pieris_brassicae",NA,NA,"Pieridae","Großer Kohl-Weißling",NA,NA,NA,NA
"ALBL041Pnap","ALB","lepidoptera","Pieris_napi",NA,NA,"Pieridae","Grünader-Weißling",NA,NA,NA,NA
"ALBL042Prap","ALB","lepidoptera","Pieris_rapae",NA,NA,"Pieridae","Kleiner Kohl-Weißling",NA,NA,NA,NA
"ALBL043Parg","ALB","lepidoptera","Plebeius_argus","Plebejus_argus",NA,"Lycaenidae","Argus-Bläuling",NA,NA,NA,NA
"ALBL044Page","ALB","lepidoptera","Polyommatus_agestis","Aricia_agestis",NA,"Lycaenidae","Kleiner Sonnenröschen-Bläuling",NA,NA,NA,NA
"ALBL046Pcor","ALB","lepidoptera","Polyommatus_coridon","Lysandra_coridon","Lycae_coridon","Lycaenidae","Silbergrüner Bläuling",NA,NA,NA,NA
"ALBL047Peum","ALB","lepidoptera","Polyommatus_eumedon","Eumedonia_eumedon","Aricia_eumedon","Lycaenidae","Storchschnabel-Bläuling",NA,NA,NA,NA
"ALBL048Pica","ALB","lepidoptera","Polyommatus_icarus",NA,NA,"Lycaenidae","Hauhechel-Bläuling",NA,NA,NA,NA
"ALBL049Psem","ALB","lepidoptera","Polyommatus_semiargus","Cyaniris_semiargus",NA,"Lycaenidae","Rotklee-Bläuling",NA,NA,NA,NA
"ALBL050Pthe","ALB","lepidoptera","Polyommatus_thersites","Plebicula_thersites",NA,"Lycaenidae","Esparsetten-Bläuling",NA,NA,NA,NA
"ALBL052Palv","ALB","lepidoptera","Pyrgus_alveus_complex",NA,NA,"Hesperiidae",NA,NA,NA,NA,"complex: this species complex includes P. alveus; P. trebevicensis; P. accreta"
"ALBL053Pmal","ALB","lepidoptera","Pyrgus_malvae",NA,NA,"Hesperiidae","Kleiner Würfel-Dickkopffalter",NA,NA,NA,NA
"ALBL054Sser","ALB","lepidoptera","Spialia_sertorius",NA,NA,"Hesperiidae","Roter Würfel-Dickkopffalter",NA,NA,NA,NA
"ALBL055Tact","ALB","lepidoptera","Thymelicus_acteon",NA,NA,"Hesperiidae","Mattscheckiger Braun-Dickkopffalter",NA,NA,NA,NA
"ALBL056Tlin","ALB","lepidoptera","Thymelicus_lineola","Thymelicus_lineolus",NA,"Hesperiidae","Schwarzkolbiger Braun-Dickkopffalter",NA,NA,NA,NA
"ALBL057Tsyl","ALB","lepidoptera","Thymelicus_sylvestris",NA,NA,"Hesperiidae","Braunkolbiger Braun-Dickkopffalter",NA,NA,NA,NA
"ALBL058Vcar","ALB","lepidoptera","Vanessa_cardui","Cynthia_cardui",NA,"Nymphalidae","Distelfalter",NA,NA,NA,NA
"SCHP001Amil","SCH","plant","Achillea_millefolium",NA,NA,"Asteraceae","Wiesen-Schafgarbe","Gewöhnliche Schafgarbe",NA,NA,"aggr."
"SCHP011Asyl","SCH","plant","Anthriscus_sylvestris",NA,NA,"Apiaceae","Wiesen-Kerbel",NA,NA,NA,NA
"SCHP022Bper","SCH","plant","Bellis_perennis",NA,NA,"Asteraceae","Gänseblümchen",NA,NA,NA,NA
"SCHP031Cbur","SCH","plant","Capsella_bursa_pastoris","Capsella_bursa-pastoris",NA,"Brassicaceae","Hirtentäschel",NA,NA,NA,NA
"SCHP033Cpra","SCH","plant","Cardamine_pratensis",NA,NA,"Brassicaceae","Wiesen-Schaumkraut",NA,NA,NA,NA
